dataset,method,metric,corruptions,mean_paired_difference_across_corruptions,scope_holm_positive_corruptions,scope_holm_negative_corruptions
fashion,random_stem,normalised_accuracy_auc,8,1.9409931057857146,0,0
fashion,random_stem,mean_retention,8,0.023937853487139314,0,0
fashion,gabor,normalised_accuracy_auc,8,1.5419168366740155,3,0
fashion,gabor,mean_retention,8,-0.005939222987200003,1,0
fashion,pca,normalised_accuracy_auc,8,0.1256251686977008,0,1
fashion,pca,mean_retention,8,-0.009979996216039316,0,0
fashion,kmeans,normalised_accuracy_auc,8,6.18763918057084,3,0
fashion,kmeans,mean_retention,8,0.072416097984309,3,0
fashion,di_wmf,normalised_accuracy_auc,8,6.335861453165611,3,0
fashion,di_wmf,mean_retention,8,0.07522909619000268,3,0
fashion,lowrank_wmf,normalised_accuracy_auc,8,2.3848473539368973,1,0
fashion,lowrank_wmf,mean_retention,8,-0.0019795387364565055,1,0
cifar10,random_stem,normalised_accuracy_auc,8,1.2215207217054225,0,0
cifar10,random_stem,mean_retention,8,0.007254027034517274,0,0
cifar10,gabor,normalised_accuracy_auc,8,0.62899289963146,5,0
cifar10,gabor,mean_retention,8,-0.0729143604688558,0,1
cifar10,pca,normalised_accuracy_auc,8,3.758895777993732,6,0
cifar10,pca,mean_retention,8,-0.021124778271354023,0,0
cifar10,kmeans,normalised_accuracy_auc,8,2.9725415818393226,3,1
cifar10,kmeans,mean_retention,8,0.06207880013222916,2,5
cifar10,di_wmf,normalised_accuracy_auc,8,2.9713541207214185,3,1
cifar10,di_wmf,mean_retention,8,0.06262074053132043,2,4
cifar10,lowrank_wmf,normalised_accuracy_auc,8,3.5861943103373037,4,0
cifar10,lowrank_wmf,mean_retention,8,-0.005707210113357836,0,4
sign,random_stem,normalised_accuracy_auc,8,-0.27058542421501575,0,0
sign,random_stem,mean_retention,8,0.08315950741686277,0,0
sign,gabor,normalised_accuracy_auc,8,2.0751488120812507,0,0
sign,gabor,mean_retention,8,-0.040931120545185995,0,0
sign,pca,normalised_accuracy_auc,8,2.107390920735068,0,0
sign,pca,mean_retention,8,-0.01860290479739223,0,0
sign,kmeans,normalised_accuracy_auc,8,4.504712319467217,0,0
sign,kmeans,mean_retention,8,0.09171874934344784,0,0
sign,di_wmf,normalised_accuracy_auc,8,2.7574404755917685,0,0
sign,di_wmf,mean_retention,8,0.0526887819443817,0,0
sign,lowrank_wmf,normalised_accuracy_auc,8,2.5384424758764608,0,0
sign,lowrank_wmf,mean_retention,8,0.050773913960450855,0,0
