study,dataset,model,corruption,reference,method,metric,paired_seeds,reference_mean,method_mean,mean_paired_difference,paired_difference_std,ci95_low,ci95_high,method_greater_count,raw_p,family,correction_scope,holm_p_scope,holm_p_family_wide,holm_p_all_378,included_in_replacement_registry,analysis_status
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,random_stem,normalised_accuracy_auc,5,59.970388478702965,61.33266690704558,1.36227842834261,1.5058686069086258,-0.5075044068810868,3.2320612635663064,5,0.11312979518334525,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=normalised_accuracy_auc,1.0,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,random_stem,mean_accuracy_drop,5,9.322331945101421,8.369499494632084,-0.952832450469335,0.7055054574124673,-1.8288331774746744,-0.07683172346399536,0,0.03916478704629198,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_accuracy_drop,1.0,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,random_stem,mean_retention,5,0.864317882634737,0.8788897878272774,0.014571905192540525,0.011834839303734879,-0.00012298869543397525,0.029266799080515025,5,0.05120540768664063,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_retention,1.0,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,random_stem,mean_consistency,5,0.7648683349291484,0.7973216692606607,0.03245333433151243,0.015008774550586745,0.013817479314891988,0.05108918934813287,5,0.008430435184082827,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_consistency,0.26977392589065047,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,random_stem,worst_accuracy,5,49.171333312988274,51.16466701030731,1.993333697319032,2.1172281031728746,-0.6355522143759709,4.622219609014035,5,0.10304455376697075,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=worst_accuracy,1.0,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,gabor,normalised_accuracy_auc,5,59.970388478702965,66.94233361217712,6.971945133474139,0.9862328844199499,5.747375267045234,8.196514999903044,5,9.358671294001671e-05,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=normalised_accuracy_auc,0.0040242286564207185,0.025549172632624562,0.03294252295488588,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,gabor,mean_accuracy_drop,5,9.322331945101421,4.628166059652965,-4.694165885448456,0.9947152251079924,-5.929267968930203,-3.4590638019667086,0,0.0004562554647409809,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_accuracy_drop,0.02007524044860316,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,gabor,mean_retention,5,0.864317882634737,0.9347742579466003,0.07045637531186329,0.013086974486132255,0.05420675024702166,0.08670600037670492,5,0.0002730035011408584,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_retention,0.01201215405019777,0.07152691729890491,0.09200217988446929,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,gabor,mean_consistency,5,0.7648683349291484,0.8642916709184647,0.0994233359893163,0.023490607024251653,0.07025589495135057,0.12859077702728203,5,0.0006953161206555084,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_consistency,0.03059390930884237,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,gabor,worst_accuracy,5,49.171333312988274,59.613333543141685,10.442000230153404,1.0291844007263653,9.16409901225856,11.719901448048248,5,2.2358610848662107e-05,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=worst_accuracy,0.001050854709887119,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
