study,dataset,model,corruption,reference,method,metric,paired_seeds,reference_mean,method_mean,mean_paired_difference,paired_difference_std,ci95_low,ci95_high,method_greater_count,raw_p,family,correction_scope,holm_p_scope,holm_p_family_wide,holm_p_all_378,included_in_replacement_registry,analysis_status
shared_downstream_repair_20260908,fashion,standard,,kaiming,random_stem,initial_val_accuracy,5,8.556666666666667,10.059999999999999,1.5033333333333332,2.170586198344688,-1.1918054041492405,4.198472070815907,3,0.1963788193831137,first_layer_training,first_layer_training|dataset=fashion|metric=initial_val_accuracy,0.9818940969155685,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,random_stem,validation_aulc,5,54.36099999999999,54.803,0.44200000000000017,1.528086312280099,-1.455369760106153,2.3393697601061536,3,0.5530136896280368,first_layer_training,first_layer_training|dataset=fashion|metric=validation_aulc,0.5530136896280368,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,random_stem,test_accuracy,5,68.69000000000001,69.08599999999998,0.39599999999999796,0.9647953150798327,-0.8019516083702876,1.5939516083702834,3,0.4106593771490714,first_layer_training,first_layer_training|dataset=fashion|metric=test_accuracy,0.4106593771490714,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,random_stem,conv1_drift,5,0.016364974714815617,0.05274932608008385,0.03638435136526823,0.006421665881918626,0.028410800031196445,0.04435790269934001,5,0.0002235205350089262,first_layer_training,first_layer_training|dataset=fashion|metric=conv1_drift,0.001341123210053557,0.015422916915615906,0.07644402297305275,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,gabor,initial_val_accuracy,5,8.556666666666667,10.57,2.0133333333333336,4.066588113995428,-3.0360027233381333,7.0626693900048005,3,0.3303596987091365,first_layer_training,first_layer_training|dataset=fashion|metric=initial_val_accuracy,1.0,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,gabor,validation_aulc,5,54.36099999999999,60.20766666666667,5.846666666666667,2.174422656451332,3.1467643372724563,8.546568996060877,5,0.0038532151358714986,first_layer_training,first_layer_training|dataset=fashion|metric=validation_aulc,0.011559645407614496,0.21963326274467543,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,gabor,test_accuracy,5,68.69000000000001,71.068,2.378,0.4932240870030504,1.7655814081213914,2.990418591878609,5,0.000419789835797952,first_layer_training,first_layer_training|dataset=fashion|metric=test_accuracy,0.002518739014787712,0.027706129162664832,0.13769106614172827,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,gabor,conv1_drift,5,0.016364974714815617,0.005361332837492227,-0.011003641877323389,0.0026515125139873526,-0.01429592950672824,-0.007711354247918538,0,0.0007501420347732082,first_layer_training,first_layer_training|dataset=fashion|metric=conv1_drift,0.003750710173866041,0.04800909022548532,0.23629474095356057,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,pca,initial_val_accuracy,5,8.556666666666667,9.97,1.4133333333333333,1.8358089346237656,-0.8661245283698038,3.6927911950364702,3,0.1602720908297164,first_layer_training,first_layer_training|dataset=fashion|metric=initial_val_accuracy,0.9616325449782985,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,pca,validation_aulc,5,54.36099999999999,57.346333333333334,2.9853333333333354,1.8884710158691296,0.6404868612773482,5.330179805389323,5,0.024125573466598074,first_layer_training,first_layer_training|dataset=fashion|metric=validation_aulc,0.04825114693319615,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,pca,test_accuracy,5,68.69000000000001,69.65799999999999,0.9679999999999979,0.5558506993788841,0.27782019820485415,1.6581798017951415,5,0.017629934648862405,first_layer_training,first_layer_training|dataset=fashion|metric=test_accuracy,0.03525986929772481,0.8060567544806468,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,pca,conv1_drift,5,0.016364974714815617,0.0056876540184021,-0.010677320696413518,0.0036280348610331983,-0.015182120967586636,-0.006172520425240399,0,0.0027604719318736026,first_layer_training,first_layer_training|dataset=fashion|metric=conv1_drift,0.01104188772749441,0.16286784398054255,0.7729321409246087,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,kmeans,initial_val_accuracy,5,8.556666666666667,9.676666666666666,1.12,3.0290583428591216,-2.6410726927869246,4.881072692786924,3,0.4548230862271725,first_layer_training,first_layer_training|dataset=fashion|metric=initial_val_accuracy,1.0,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,kmeans,validation_aulc,5,54.36099999999999,59.45366666666666,5.092666666666666,0.9858101575185065,3.868621685012355,6.316711648320977,5,0.00032078282736490183,first_layer_training,first_layer_training|dataset=fashion|metric=validation_aulc,0.001603914136824509,0.021813232260813324,0.10714146433987722,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,kmeans,test_accuracy,5,68.69000000000001,70.23400000000001,1.543999999999997,0.5320996147339332,0.8833110649267789,2.204688935073215,5,0.0029091798827312696,first_layer_training,first_layer_training|dataset=fashion|metric=test_accuracy,0.014545899413656348,0.16873243319841363,0.808752007399293,True,"exploratory_repair; inherited retrospective scope, not preregistered"
