dataset,condition,metric,runs,mean,ci95_low,ci95_high
fashion,kaiming_conv__kaiming_head,initial_validation_accuracy,10,9.535,8.074789779370747,10.995210220629254
fashion,kaiming_conv__kaiming_head,post_training_aulc,10,83.20666666666668,82.85525364122785,83.55807969210551
fashion,kaiming_conv__kaiming_head,final_test_accuracy,10,84.976,84.70668187399681,85.24531812600318
fashion,kaiming_conv__fitted_head,initial_validation_accuracy,10,72.875,72.53464234288293,73.21535765711707
fashion,kaiming_conv__fitted_head,post_training_aulc,10,84.23053333333334,83.83554464330922,84.62552202335746
fashion,kaiming_conv__fitted_head,final_test_accuracy,10,85.69299999999998,85.37333069809866,86.01266930190131
fashion,di_conv__fitted_head,initial_validation_accuracy,10,59.451666666666675,54.09986148292803,64.80347185040532
fashion,di_conv__fitted_head,post_training_aulc,10,85.65956666666668,85.22238743540399,86.09674589792937
fashion,di_conv__fitted_head,final_test_accuracy,10,86.96600000000001,86.56083873356816,87.37116126643186
cifar10,kaiming_conv__kaiming_head,initial_validation_accuracy,10,9.492,8.715181100536796,10.268818899463206
cifar10,kaiming_conv__kaiming_head,post_training_aulc,10,55.6484,55.20156360587108,56.095236394128925
cifar10,kaiming_conv__kaiming_head,final_test_accuracy,10,59.931,59.66488359866577,60.19711640133423
cifar10,kaiming_conv__fitted_head,initial_validation_accuracy,10,39.688,38.91921557788131,40.456784422118695
cifar10,kaiming_conv__fitted_head,post_training_aulc,10,55.91512,55.509355621504746,56.32088437849526
cifar10,kaiming_conv__fitted_head,final_test_accuracy,10,59.42999999999999,59.07439413851632,59.78560586148367
cifar10,di_conv__fitted_head,initial_validation_accuracy,10,30.427999999999997,28.058746759008358,32.79725324099164
cifar10,di_conv__fitted_head,post_training_aulc,10,56.31676,55.599625641159385,57.03389435884062
cifar10,di_conv__fitted_head,final_test_accuracy,10,59.876999999999995,59.52415423977977,60.22984576022022
sign,kaiming_conv__kaiming_head,initial_validation_accuracy,10,9.666666666666668,8.912614279067267,10.420719054266069
sign,kaiming_conv__kaiming_head,post_training_aulc,10,47.11666666666667,43.13908896451389,51.094244368819446
sign,kaiming_conv__kaiming_head,final_test_accuracy,10,74.85714285714286,71.78376695405987,77.93051876022585
sign,kaiming_conv__fitted_head,initial_validation_accuracy,10,78.66666666666667,74.70041800790939,82.63291532542395
sign,kaiming_conv__fitted_head,post_training_aulc,10,76.18666666666665,72.28938037806365,80.08395295526965
sign,kaiming_conv__fitted_head,final_test_accuracy,10,89.07142857142857,87.28425331396842,90.85860382888872
sign,di_conv__fitted_head,initial_validation_accuracy,10,73.66666666666666,68.16558589857058,79.16774743476273
sign,di_conv__fitted_head,post_training_aulc,10,89.73333333333332,88.30429850423943,91.16236816242721
sign,di_conv__fitted_head,final_test_accuracy,10,94.64285714285714,93.70221722826379,95.58349705745049
