method,metric,n_patients,n_records,n_windows,reference_valid_windows,coverage,window_policy,mean,sd,ci95_low,ci95_high,evidence_role,inference_caveat
pretrained_mse,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.6253116705895834,1.8060967702174238,1.088967134922293,2.1616562062568736,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
pretrained_mse,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.3949628954884188,1.7510746236102575,0.8749579204471547,1.9149678705296829,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
pretrained_mse,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.3942881500426259,1.749883960218855,0.874636758383121,1.9139395417021308,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
random_mse,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.7158467047918586,1.8675873988378122,1.1612417064521712,2.2704517031315463,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
random_mse,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.4986631605855236,1.7781003786290985,0.9706325269717716,2.0266937941992755,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
random_mse,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.5004499384294783,1.7806516719844359,0.9716616642105361,2.0292382126484205,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
matched_1d_mse,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.7749860568759648,1.973117205359744,1.1890425743468334,2.360929539405096,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
matched_1d_mse,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.5594428029963887,1.9051909505210447,0.9936709282193128,2.1252146777734646,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
matched_1d_mse,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.5614994790186605,1.906998083325482,0.9951909520417312,2.1278080059955897,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.7615393906900783,2.0802892033267275,1.1437697533092233,2.3793090280709333,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.524418648407017,2.023644534266326,0.923470401344894,2.1253668954691403,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.5264753244292886,2.026060662998339,0.9248095757004481,2.128141073158129,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
pretrained_spectral,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.6619707439410325,2.2346275339670627,0.9983682798545574,2.3255732080275076,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
pretrained_spectral,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.4276912935778505,2.133272479588866,0.7941875653257032,2.061195021829998,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
pretrained_spectral,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.4297622430614758,2.1345181879405644,0.795888585092114,2.0636359010308376,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr_spectral,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.6704137072825551,1.9558817251966671,1.0895885305704234,2.251238883994687,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr_spectral,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.4325325921514132,1.8885246276682708,0.8717100043334607,1.9933551799693656,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr_spectral,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.4327934072179598,1.8887441128884694,0.8719056403351563,1.9936811741007632,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
matched_layerwise_calibrated_mse,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.7830134184385964,2.207132077704136,1.1275760969765247,2.4384507399006683,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
matched_layerwise_calibrated_mse,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.5624538545482383,2.1576057675300198,0.9217240317494042,2.2031836773470723,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
matched_layerwise_calibrated_mse,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.5617362887183859,2.156665973706883,0.9212855502355227,2.202187027201249,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
